Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-05-25T08:01:05.229Z,USAGE,claude-4-sonnet,No,0,2099,0,3227,5326,$0.02
2026-05-25T09:01:47.288Z,USAGE,claude-4-sonnet,No,1064,7780,0,3020,11864,$0.11
2026-05-25T09:22:54.360Z,USAGE,gpt-4o,No,0,1470,4040,3131,8641,$0.18
2026-05-25T09:38:40.179Z,USAGE,composer-1,No,0,3265,2266,2167,7698,$0.16
2026-05-25T09:43:47.935Z,Included,claude-4-sonnet,No,0,6788,0,2522,9310,Included
2026-05-25T10:44:27.356Z,Included,claude-4-sonnet,No,0,4832,0,127,4959,Included
2026-05-25T11:14:08.772Z,USAGE,claude-4-sonnet,No,0,6596,0,536,7132,$0.10
2026-05-25T11:32:38.027Z,USAGE,gpt-4o,No,0,2457,0,3200,5657,$0.06
2026-05-25T11:49:18.083Z,USAGE,claude-4-sonnet,No,0,4458,0,706,5164,$0.12
2026-05-25T12:09:13.800Z,USAGE,gpt-4o,No,0,304,0,2081,2385,$0.01
2026-05-25T13:06:05.398Z,Included,claude-4-sonnet,No,0,2261,9295,402,11958,Included
2026-05-25T13:13:42.279Z,Included,gpt-4o,Yes,0,6573,10809,2026,19408,Included
2026-05-25T14:05:35.307Z,USAGE,claude-4-sonnet,No,0,2035,0,3173,5208,$0.07
2026-05-25T14:17:29.666Z,USAGE,claude-4-sonnet,No,0,7669,1982,1095,10746,$0.08
2026-05-25T15:37:17.848Z,Included,claude-4-sonnet,No,0,358,10339,321,11018,Included
2026-05-25T16:05:37.442Z,USAGE,cursor-small,No,1174,2581,0,957,4712,$0.18
2026-05-25T16:12:45.681Z,Included,cursor-small,No,0,6727,6669,859,14255,Included
2026-05-25T16:46:15.171Z,Included,composer-1,No,0,7376,0,2838,10214,Included
2026-05-25T17:16:51.045Z,USAGE,gpt-4o,Yes,0,6858,0,1098,7956,$0.07
2026-05-25T19:04:02.693Z,USAGE,gpt-4o,No,1223,7463,0,1895,10581,$0.18
2026-05-25T19:29:34.130Z,Included,composer-1,No,582,7888,0,1048,9518,Included
2026-05-25T19:34:26.231Z,USAGE,gpt-4o,No,0,780,35,1679,2494,$0.09
2026-05-25T19:59:43.679Z,USAGE,composer-1,No,0,6284,0,2356,8640,$0.16
2026-05-25T21:00:48.844Z,USAGE,claude-4-sonnet,No,0,4741,5138,314,10193,$0.02
2026-05-25T21:14:55.105Z,USAGE,gpt-4o,No,2280,956,0,360,3596,$0.03
2026-05-25T21:23:10.388Z,USAGE,claude-4-sonnet,No,0,2316,0,242,2558,$0.03
2026-05-25T21:23:36.201Z,USAGE,gpt-4o,No,0,1973,0,1366,3339,$0.08
2026-05-25T21:40:39.928Z,USAGE,claude-4-sonnet,No,0,7910,0,377,8287,$0.01
2026-05-26T08:05:40.444Z,USAGE,cursor-small,Yes,0,5887,1684,1528,9099,$0.18
2026-05-26T08:07:04.990Z,USAGE,gpt-4o,No,1169,7382,2900,1768,13219,$0.01
2026-05-26T08:19:23.942Z,USAGE,cursor-small,No,0,5787,0,3400,9187,$0.08
2026-05-26T08:53:23.610Z,USAGE,composer-1,No,0,7333,3269,3424,14026,$0.15
2026-05-26T09:56:15.387Z,USAGE,composer-1,No,2903,1882,4564,364,9713,$0.09
2026-05-26T10:59:22.923Z,USAGE,gpt-4o,No,0,3012,0,552,3564,$0.09
2026-05-26T12:07:56.112Z,USAGE,cursor-small,No,1979,3131,0,1364,6474,$0.14
2026-05-26T12:10:28.874Z,USAGE,gpt-4o,No,0,2386,7144,86,9616,$0.17
2026-05-26T12:10:47.463Z,USAGE,gpt-4o,No,0,5793,7066,366,13225,$0.11
2026-05-26T12:38:13.752Z,USAGE,composer-1,No,0,4454,6691,1416,12561,$0.13
2026-05-26T12:57:58.887Z,USAGE,gpt-4o,No,0,3405,0,792,4197,$0.10
2026-05-26T13:13:43.665Z,USAGE,composer-1,No,3418,5051,0,1399,9868,$0.15
2026-05-26T13:49:08.668Z,USAGE,composer-1,No,0,6821,0,2778,9599,$0.03
2026-05-26T16:09:27.133Z,USAGE,composer-1,No,3276,2224,0,1000,6500,$0.07
2026-05-26T16:13:32.278Z,Included,claude-4-sonnet,No,0,6595,6790,2659,16044,Included
2026-05-26T16:45:19.641Z,USAGE,composer-1,No,0,1508,0,102,1610,$0.04
2026-05-26T16:45:27.588Z,USAGE,claude-4-sonnet,No,0,4105,4082,577,8764,$0.15
2026-05-26T17:36:06.076Z,Included,gpt-4o,No,0,2899,0,1892,4791,Included
2026-05-26T18:06:56.140Z,USAGE,composer-1,No,0,4788,2607,3126,10521,$0.16
2026-05-26T18:52:35.313Z,USAGE,composer-1,No,3385,4570,3919,1204,13078,$0.15
2026-05-26T19:35:09.285Z,Included,claude-4-sonnet,No,2412,960,3788,1648,8808,Included
2026-05-26T19:57:09.572Z,USAGE,composer-1,Yes,0,4745,1020,927,6692,$0.14
2026-05-26T20:41:33.008Z,USAGE,composer-1,No,3807,6571,0,2033,12411,$0.01
2026-05-26T21:16:32.512Z,USAGE,claude-4-sonnet,No,0,7146,8947,3356,19449,$0.08
2026-05-26T21:17:02.003Z,USAGE,claude-4-sonnet,No,0,5779,0,1736,7515,$0.06
2026-05-27T08:48:01.995Z,USAGE,gpt-4o,No,0,4066,0,1863,5929,$0.06
2026-05-27T08:54:26.862Z,USAGE,cursor-small,No,0,4708,0,1984,6692,$0.14
2026-05-27T09:30:01.785Z,USAGE,gpt-4o,No,554,2584,0,1078,4216,$0.15
2026-05-27T09:32:41.357Z,USAGE,composer-1,No,0,2962,3475,1533,7970,$0.09
2026-05-27T09:37:01.974Z,USAGE,cursor-small,No,241,4532,0,430,5203,$0.08
2026-05-27T09:37:44.870Z,USAGE,gpt-4o,No,0,5591,0,1915,7506,$0.01
2026-05-27T09:41:27.142Z,Included,claude-4-sonnet,No,2582,3323,8698,1488,16091,Included
2026-05-27T11:12:53.021Z,USAGE,composer-1,No,0,2519,3777,574,6870,$0.07
2026-05-27T11:29:44.268Z,USAGE,composer-1,No,0,1869,7933,1212,11014,$0.17
2026-05-27T12:24:20.221Z,USAGE,cursor-small,No,1678,1769,11600,2267,17314,$0.05
2026-05-27T12:36:43.952Z,USAGE,cursor-small,No,0,1334,0,3163,4497,$0.16
2026-05-27T14:17:48.997Z,Included,claude-4-sonnet,No,0,3091,841,1114,5046,Included
2026-05-27T14:25:45.207Z,USAGE,gpt-4o,No,0,906,0,2891,3797,$0.02
2026-05-27T15:20:21.798Z,USAGE,composer-1,No,1216,1270,0,1784,4270,$0.08
2026-05-27T15:42:07.591Z,USAGE,claude-4-sonnet,No,2610,3812,10174,326,16922,$0.04
2026-05-27T15:58:08.652Z,USAGE,claude-4-sonnet,No,0,1586,9043,387,11016,$0.06
2026-05-27T16:01:58.413Z,Included,gpt-4o,No,1148,2660,0,2959,6767,Included
2026-05-27T16:03:22.235Z,USAGE,claude-4-sonnet,No,3440,5420,0,3372,12232,$0.07
2026-05-27T16:27:42.388Z,USAGE,gpt-4o,No,0,7071,977,759,8807,$0.10
2026-05-27T17:09:15.132Z,USAGE,composer-1,No,0,4139,0,2946,7085,$0.13
2026-05-27T17:36:42.028Z,USAGE,gpt-4o,No,363,7586,5280,2552,15781,$0.09
2026-05-27T17:47:45.120Z,Included,claude-4-sonnet,No,0,5109,0,3212,8321,Included
2026-05-27T17:50:02.364Z,USAGE,claude-4-sonnet,Yes,0,4154,7245,1219,12618,$0.06
2026-05-27T17:51:07.834Z,USAGE,gpt-4o,No,0,4150,5460,1395,11005,$0.04
2026-05-27T18:04:49.683Z,USAGE,claude-4-sonnet,No,1840,6964,0,230,9034,$0.15
2026-05-27T18:15:06.731Z,Included,claude-4-sonnet,No,0,7385,18,2773,10176,Included
2026-05-27T20:19:54.717Z,USAGE,gpt-4o,Yes,0,5400,0,2641,8041,$0.15
2026-05-27T20:23:10.635Z,USAGE,claude-4-sonnet,No,0,3889,0,2065,5954,$0.04
2026-05-27T20:52:10.326Z,Included,gpt-4o,No,0,2845,0,2342,5187,Included
2026-05-27T21:26:16.875Z,USAGE,claude-4-sonnet,No,681,5606,0,2121,8408,$0.10
2026-05-27T21:29:11.052Z,USAGE,claude-4-sonnet,No,0,2296,2369,1651,6316,$0.07
2026-05-28T10:28:34.507Z,Included,claude-4-sonnet,No,1528,6822,5873,1615,15838,Included
2026-05-28T10:55:04.289Z,USAGE,claude-4-sonnet,No,0,1775,1293,2576,5644,$0.13
2026-05-28T11:36:24.244Z,USAGE,claude-4-sonnet,No,2088,5525,4183,2811,14607,$0.01
2026-05-28T12:52:00.296Z,USAGE,gpt-4o,No,0,905,5661,2486,9052,$0.10
2026-05-28T13:21:35.799Z,USAGE,gpt-4o,No,0,1931,0,2059,3990,$0.04
2026-05-28T13:47:30.739Z,USAGE,gpt-4o,No,0,2718,10784,1701,15203,$0.09
2026-05-28T13:55:12.731Z,Included,cursor-small,No,0,7759,0,2114,9873,Included
2026-05-28T13:59:50.532Z,USAGE,cursor-small,No,3484,3186,3115,2623,12408,$0.09
2026-05-28T15:02:08.526Z,USAGE,composer-1,No,0,5446,10280,2727,18453,$0.02
2026-05-28T15:55:34.037Z,USAGE,gpt-4o,No,0,1038,0,1418,2456,$0.14
2026-05-28T16:24:29.978Z,USAGE,claude-4-sonnet,No,0,4648,4465,3481,12594,$0.06
2026-05-28T16:58:29.016Z,USAGE,composer-1,No,0,6415,0,3374,9789,$0.04
2026-05-28T17:04:15.661Z,USAGE,claude-4-sonnet,No,2970,6232,0,1707,10909,$0.18
2026-05-28T17:21:55.105Z,USAGE,composer-1,Yes,0,4025,11015,1153,16193,$0.13
2026-05-28T17:32:47.922Z,USAGE,cursor-small,No,302,5375,0,2379,8056,$0.11
2026-05-28T17:42:31.907Z,USAGE,claude-4-sonnet,Yes,0,7749,0,2739,10488,$0.14
2026-05-28T18:09:04.492Z,Included,claude-4-sonnet,Yes,0,1251,8807,635,10693,Included
2026-05-28T18:45:56.796Z,USAGE,claude-4-sonnet,No,0,4725,11904,712,17341,$0.14
2026-05-28T18:58:18.238Z,USAGE,composer-1,No,0,2591,6070,969,9630,$0.15
2026-05-28T19:05:27.103Z,USAGE,claude-4-sonnet,No,0,3309,10564,1549,15422,$0.02
2026-05-28T19:09:26.913Z,USAGE,claude-4-sonnet,No,0,4025,3475,2708,10208,$0.01
2026-05-28T19:19:53.615Z,Included,claude-4-sonnet,No,0,1981,9080,928,11989,Included
2026-05-28T19:25:41.084Z,USAGE,composer-1,No,0,6760,0,91,6851,$0.09
2026-05-28T20:16:21.653Z,USAGE,claude-4-sonnet,No,914,1200,0,185,2299,$0.05
2026-05-28T20:24:24.695Z,Included,composer-1,No,913,2473,6897,2234,12517,Included
2026-05-28T20:40:45.914Z,Included,claude-4-sonnet,No,0,5163,8254,987,14404,Included
2026-05-28T20:50:54.435Z,USAGE,claude-4-sonnet,No,0,4571,10540,207,15318,$0.02
2026-05-28T20:52:41.159Z,USAGE,composer-1,No,3117,7752,1323,1399,13591,$0.05
2026-05-28T21:21:54.707Z,Included,claude-4-sonnet,No,0,2963,9787,2253,15003,Included
2026-05-28T21:34:24.332Z,USAGE,gpt-4o,No,0,1237,0,2746,3983,$0.18
2026-05-28T21:49:26.045Z,USAGE,claude-4-sonnet,No,1588,7078,6815,3068,18549,$0.04
2026-05-28T21:54:28.104Z,USAGE,claude-4-sonnet,No,0,5926,0,354,6280,$0.03
2026-05-29T08:11:55.150Z,USAGE,claude-4-sonnet,No,2979,5158,10930,1343,20410,$0.02
2026-05-29T08:38:59.689Z,USAGE,cursor-small,Yes,1065,6586,4186,1265,13102,$0.11
2026-05-29T09:05:27.101Z,Included,gpt-4o,No,2381,6064,9154,3493,21092,Included
2026-05-29T09:26:22.916Z,USAGE,claude-4-sonnet,No,0,3873,1275,1362,6510,$0.14
2026-05-29T09:47:33.225Z,USAGE,composer-1,No,285,2960,10127,1964,15336,$0.12
2026-05-29T09:48:17.601Z,Included,composer-1,No,0,4592,5083,3134,12809,Included
2026-05-29T09:56:03.163Z,USAGE,claude-4-sonnet,No,0,1234,3176,3259,7669,$0.12
2026-05-29T10:17:44.799Z,USAGE,cursor-small,No,621,1499,2842,2547,7509,$0.05
2026-05-29T10:23:19.756Z,USAGE,composer-1,No,0,4347,9236,3192,16775,$0.15
2026-05-29T10:35:03.614Z,USAGE,cursor-small,No,0,2947,0,2649,5596,$0.11
2026-05-29T10:47:40.032Z,USAGE,claude-4-sonnet,No,1325,5144,8312,383,15164,$0.10
2026-05-29T10:48:39.052Z,USAGE,claude-4-sonnet,No,2840,7379,0,449,10668,$0.17
2026-05-29T11:51:27.886Z,USAGE,gpt-4o,No,0,636,9366,2749,12751,$0.07
2026-05-29T12:22:06.605Z,USAGE,gpt-4o,No,623,6943,0,1486,9052,$0.03
2026-05-29T12:58:21.368Z,USAGE,claude-4-sonnet,No,0,3899,9991,730,14620,$0.12
2026-05-29T13:49:36.625Z,USAGE,claude-4-sonnet,No,2648,728,0,2731,6107,$0.11
2026-05-29T13:54:35.385Z,Included,claude-4-sonnet,No,3164,7276,0,2548,12988,Included
2026-05-29T14:26:29.357Z,USAGE,claude-4-sonnet,No,1632,2841,0,2940,7413,$0.13
2026-05-29T15:14:54.113Z,Included,composer-1,No,0,5571,0,3410,8981,Included
2026-05-29T15:26:17.226Z,Included,composer-1,No,0,7774,10584,2826,21184,Included
2026-05-29T16:13:09.688Z,USAGE,claude-4-sonnet,No,1077,3099,0,2071,6247,$0.07
2026-05-29T16:35:21.702Z,USAGE,claude-4-sonnet,Yes,0,1128,8843,3500,13471,$0.17
2026-05-29T16:49:52.651Z,Included,claude-4-sonnet,No,1743,1563,11351,3238,17895,Included
2026-05-29T17:42:25.072Z,USAGE,cursor-small,No,1692,5840,0,1899,9431,$0.10
2026-05-29T17:43:41.583Z,USAGE,composer-1,No,3512,6725,3178,1586,15001,$0.15
2026-05-29T18:05:17.464Z,USAGE,claude-4-sonnet,No,0,1627,0,3361,4988,$0.05
2026-05-29T18:27:31.636Z,USAGE,claude-4-sonnet,No,0,7953,8452,590,16995,$0.10
2026-05-29T18:48:27.910Z,Included,claude-4-sonnet,No,0,7107,3637,3425,14169,Included
2026-05-29T19:03:18.629Z,USAGE,claude-4-sonnet,Yes,2256,3363,1337,1615,8571,$0.08
2026-05-29T19:47:23.851Z,Included,cursor-small,No,0,6782,627,1255,8664,Included
2026-05-29T21:44:17.030Z,USAGE,gpt-4o,No,0,4142,86,404,4632,$0.01
2026-05-30T09:49:18.249Z,USAGE,gpt-4o,Yes,0,2281,0,1273,3554,$0.14
2026-05-30T11:53:09.575Z,Included,claude-4-sonnet,No,2937,1001,5908,357,10203,Included
